1 	0	plantas herbaceas, enredaderas, parasitas (fijadas por haustorios en arbustos o hierbas), generalmente  amarillentas a anaranjadas; hojas vestigiales, escamiformes; 0-100 mñ, vertiente caribe . 	cassytha
1	1	plantas leñosas, arbustivas o arboreas (raramente sufrutices), autotrofas, el follaje verde; hojas bien  desarrolladas, foliaceas; ampliamente distribuidas. 	
2 	0	hojas opuestas o subopuestas, la lamina palmadamente trinervada; 0-600 m,  vertiente pacifico . 	caryodaphnopsis
2	1	hojas alternas o (a veces) subopuestas o verticiladas, la lamina pinnadamente nervada o triplinervada  (rara vez palmadamente trinervada); ampliamente distribuidas. 	
3 	0	flores con 3 estambres fertiles (o que parecen solo 1), separados o (a veces) connatos en una columna  central. 	
4 	0	laminas foliares conspicuamente pubescentes en el haz; flores (al menos algunas) unisexuales,  los estambres totalmente connatos (incluso las anteras) en una columna central angostamente  conica (que parece un solo estambre) con 1-3 valvulas apicales; aproximadamente 50-100 m, n vertiente  caribe . 	gamanthera
4	1	laminas foliares glabras o glabrescentes en el haz; flores bisexuales (raramente unisexuales), los  estambres separados o, si connatos, entonces no totalmente, cada antera con 2 o 4 valvulas;  ampliamente distribuidas. 	
5 	0	flores con los estambres separados o unidos alrededor del pistilo y que forman una columna solida,  cada antera con 2 valvulas; frutos sostenidos por una cupula; laminas foliares concoloras;  ampliamente distribuidas . 	licaria
5	1	flores con los estambres separados, cada antera con 4 valvulas; frutos sin cupula;  laminas foliares glaucas en el enves (condicion mas evidente cuando frescas);  50-400 m, vertiente pacifico. 	williamodendron
3	1	flores con (6)9(12) estambres fertiles (o con analoga cantidad de estaminodios en las flores pistiladas),  separados o (raramente) conniventes o connatos solo en la base. 	
6 	0	anteras con 2 valvulas cada una (al menos en los 2 verticilos externos de estambres; a veces con 4  cada una en el verticilo interno). 	
7 	0	frutos sin cupula. 	
8 	0	tepalos deciduos en fruto. 	beilschmiedia
8	1	tepalos usualmente persistentes en fruto . 	persea
7	1	frutos sostenidos por una cupula. 	
