0.6	1
1.3	1
1.5	1
10	5
100	2
1000	1
11	2
1100	1
12	5
13	2
14	3
15	3
16	3
17	2
18	2
19	2
20	1
200	1
2200	1
3.2	1
3000	2
32	1
350	1
40	1
400	1
45	2
50	2
500	1
600	1
900	1
a	9
abiertamente	1
agrandadas	1
aiouea	1
al	2
algunas	2
alrededor	1
alternas	1
amarillentas	1
amarillento	1
ambas	1
ampliamente	6
analoga	1
anaranjadas	1
ancha	1
anchura	1
angostamente	1
aniba	1
antera	7
anteras	11
apical	1
apicales	1
apice	1
aproximadamente	2
arboles	3
arbolitos	1
arboreas	1
arbustivas	1
arbustos	4
arco	2
autotrofas	1
bajo	1
basales	2
base	1
beilschmiedia	1
bien	2
bisexuales	3
bracteas	2
cada	8
cafe	1
cantidad	1
caribe	3
caryodaphnopsis	1
casi	3
cassytha	1
central	2
cinnamomum	2
claramente	2
cm	4
columna	3
completamente	1
comun	1
con	39
concoloras	1
condicion	1
conica	1
connatos	4
conniventes	1
conspicuamente	1
conspicuas	1
conspicuos	1
cordado	1
cordillera	1
corto	1
cryptocarya	1
cuando	3
cupula	10
de	16
debilmente	1
deciduos	1
decusadas	2
dehiscentes	3
del	4
delgada	1
densamente	1
desarrolladas	1
desarrollados	2
descubiertos	1
diferenciado	4
diminutos	1
dioicas	2
dispuestas	4
distribuidas	6
dorado	1
ejes	2
el	10
en	21
encerradas	2
endlicheria	1
enredaderas	1
entonces	2
entre	2
enves	1
escamiformes	1
esparcidamente	1
estambre	1
estambres	18
estaminodios	3
estos	1
evidente	1
externas	2
externos	5
extienden	2
extrorsamente	2
ferruginosos	1
fertiles	2
fijadas	1
filamento	4
flores	14
foliaceas	1
foliares	10
follaje	1
forman	1
frecuentemente	1
frescas	1
fruto	2
frutos	10
funcionalmente	3
gamanthera	1
general	1
generalmente	1
glabras	3
glabrescentes	1
glabros	1
glandulas	2
glaucas	1
gruesa	1
guanacaste	1
haustorios	1
haz	2
herbaceas	1
hermafroditas	2
hierbas	1
hojas	4
horizontal	1
igual	1
incluso	1
inconspicua	1
inconspicuas	1
inconspicuos	1
indumentados	2
inferiores	4
inflores	4
inmersos	2
interno	4
introrsa	1
introrsamente	1
jovenes	2
la	11
lado	2
lamina	2
laminas	10
las	25
lateral	1
laterales	2
lateralextrorsamente	1
lateralmente	1
leñosas	1
licaria	1
linea	1
lineares	1
lisa	1
litsea	1
lo	2
longitud	1
longitudinalmente	2
los	13
m	13
mas	4
menos	3
menudo	1
misma	2
mucho	1
muy	1
mñ	1
n	1
nectandra	1
negros	1
nervada	1
nervadas	2
nervios	2
no	3
nunca	1
o	27
ocotea	2
opuestas	1
pacifico	4
palmadamente	2
paniculadas	3
parasitas	1
parcialmente	1
parece	1
parecen	1
pequeña	1
pequeñas	1
pero	1
persea	2
persistentes	1
pinnadamente	3
pistiladas	1
pistilo	1
plantas	6
pleurothyrium	1
poco	2
por	11
porcion	1
povedadaphne	1
presentes	1
pubescentes	2
que	9
racemiformes	1
racemoso	1
rara	3
raramente	4
recta	1
relativamente	1
rhodostemonodaphne	1
ribeteada	2
s	1
sagitados	1
se	2
secundarios	2
separacion	2
separadas	2
separados	5
si	2
sin	5
sobrepuestas	2
solida	1
solo	4
sostenidos	4
su	1
subopuestas	2
sufrutices	1
superiores	4
tepalos	4
total	1
totalmente	2
tricomas	2
trinervada	2
triplinervada	1
triplinervadas	2
ultima	2
umbeladas	1
un	3
una	16
unidos	1
unisexuales	4
usualmente	2
valvulas	19
variadamente	1
veces	5
verde	1
verrucosa	1
verticiladas	1
verticilo	4
verticilos	5
vertiente	7
vertientes	1
vestigiales	1
vez	3
visible	1
williamodendron	1
x	2
y	5
